Time,Humidity,Temperature,Timestamp
2024-07-19 22:23:17,69.00,29.80,23
2024-07-19 22:23:19,69.00,29.80,2048
2024-07-19 22:23:21,69.00,29.80,4072
2024-07-19 22:23:23,69.00,29.80,6096
2024-07-19 22:23:25,69.00,29.80,8121
2024-07-19 22:23:27,69.00,29.80,10144
2024-07-19 22:23:29,69.00,29.80,12169
2024-07-19 22:23:31,69.00,29.80,14193
2024-07-19 22:23:33,69.00,29.80,16218
2024-07-19 22:23:35,69.00,29.80,18242
2024-07-19 22:23:37,69.00,29.80,20265
2024-07-19 22:23:39,69.00,29.80,22290
2024-07-19 22:23:41,69.00,29.80,24314
2024-07-19 22:23:43,69.00,29.80,26339
2024-07-19 22:23:45,69.00,29.80,28363
2024-07-19 22:23:47,69.00,29.80,30387
2024-07-19 22:23:49,69.00,29.80,32411
2024-07-19 22:23:51,69.00,29.80,34436
2024-07-19 22:23:53,69.00,29.80,36460
2024-07-19 22:23:55,69.00,29.80,38484
2024-07-19 22:23:57,69.00,29.80,40508
2024-07-19 22:23:59,69.00,29.80,42532
2024-07-19 22:24:01,69.00,29.80,44557
2024-07-19 22:24:03,69.00,29.80,46581
2024-07-19 22:24:05,69.00,29.80,48606
2024-07-19 22:24:07,69.00,29.80,50629
2024-07-19 22:24:09,69.00,29.80,52654
2024-07-19 22:24:11,69.00,29.80,54678
2024-07-19 22:24:13,69.00,29.80,56702
2024-07-19 22:24:16,69.00,29.80,58727
2024-07-19 22:24:18,69.00,29.80,60751
2024-07-19 22:24:20,69.00,29.80,62775
2024-07-19 22:24:22,69.00,29.80,64799
2024-07-19 22:24:24,69.00,29.80,66824
2024-07-19 22:24:26,69.00,29.80,68848
2024-07-19 22:24:28,69.00,29.80,70873
2024-07-19 22:24:30,69.00,29.80,72896
2024-07-19 22:24:32,69.00,29.80,74920
2024-07-19 22:24:34,69.00,29.80,76945
2024-07-19 22:24:36,69.00,29.80,78969
2024-07-19 22:24:38,69.00,29.80,80994
2024-07-19 22:24:40,69.00,29.80,83018
2024-07-19 22:24:42,69.00,29.80,85043
2024-07-19 22:24:44,69.00,29.80,87067
2024-07-19 22:24:46,69.00,29.80,89092
2024-07-19 22:24:48,69.00,29.80,91116
2024-07-19 22:24:50,69.00,29.80,93140
2024-07-19 22:24:52,69.00,29.80,95165
2024-07-19 22:24:54,69.00,29.80,97189
